Rank,Trial_ID,Val_Loss,Filters_L1,Filters_L2,Filters_L3,Act_L1,Act_L2,Act_L3,Act_L4,Alpha_Real,Alpha_Imag,Pruning_Thrld,Weight_Update,Learning_Rate
1,13,6.091822433518246e-05,32,8,40,selu,relu,relu,relu,1.6995279727034293e-05,0.0016394326161497945,0.00024053757771060158,0.15000000000000002,0.00048566713121464116
2,00,0.00045690382830798626,96,24,24,tanh,gelu,gelu,relu,0.00013723938567171233,0.0743158236670143,0.000547848227405595,0.75,0.00016523657922004823
3,09,0.0023723626509308815,16,40,24,elu,gelu,relu,relu,1.6378619858748007e-05,0.014376807778464996,0.0005948448035466221,0.9,0.0001502383432078371
4,12,0.002456072485074401,80,8,64,relu,gelu,gelu,relu,0.0005526197040592891,1.786205995077848e-05,0.0024304820287797276,0.7000000000000001,0.0007225939013906365
5,07,0.005790308583527803,64,8,32,selu,gelu,elu,tanh,0.004240937097504211,1.7906328301541027e-05,0.0007341530889556122,0.1,0.0014992952333372789
6,02,0.026799505576491356,32,56,40,gelu,tanh,tanh,tanh,4.8849050896168464e-05,0.00030334060120688997,0.007735752672132154,0.2,0.00045731043521129826
7,14,0.04095416143536568,112,8,24,selu,gelu,gelu,gelu,1.853009029126311e-05,8.828660070121612e-05,0.00043259693427351087,0.6000000000000001,0.0004242727562260731
8,11,0.06429462134838104,64,24,64,relu,tanh,relu,elu,0.008826473565672555,4.037199426722815e-05,0.00010255763744022897,0.7000000000000001,0.0002134256371324646
9,10,0.09596746414899826,32,88,32,elu,gelu,gelu,tanh,0.0018461807989091103,0.04439897405645893,0.0001512622625503594,0.9500000000000001,0.0005828411311770783
10,04,0.2168487012386322,64,40,16,tanh,relu,relu,selu,0.00020266827563826848,0.04257033565781199,0.04962118829670103,0.55,7.631945079682936e-05
11,08,0.27189141511917114,112,88,24,selu,relu,elu,elu,0.014364069227488768,1.1513914858476788e-05,0.00025736435253012244,0.8,9.284059097399835e-05
12,03,1.292211890220642,128,40,48,tanh,relu,elu,elu,0.004536772164523626,0.018177798748780997,0.001511591944064936,0.55,0.0006090600827114356
13,06,2.1110079288482666,16,24,24,gelu,gelu,relu,tanh,2.9451739431816486e-05,0.00074465417279919,0.019886294598802572,0.8,0.002288021526188895
14,01,3.573469877243042,128,24,24,selu,gelu,selu,selu,0.005570807718078697,0.007865156009199941,0.039059995734377004,0.45,0.00015070798351882905
15,05,5.474658966064453,48,24,24,tanh,selu,tanh,tanh,0.0026532711207386452,0.0006333901905596845,0.0014624905602335862,0.05,0.00019501491147508936
